1girl,0,5839239,"1girls,sole-female"
highres,5,5045069,"high-res,high-resolution,hires"
solo,0,4864738,"female-solo,solo-female"
long-hair,0,4217407,"/lh,longhair"
breasts,0,3333770,"/b,boobs,breast,breats,oppai,tits"
commentary-request,5,3221081,/com
looking-at-viewer,0,3204017,"/lav,/pec,pov-eye-contact"
blush,0,2858641,"blushing,flush,flushed"
smile,0,2780273,":),:},smiling"
open-mouth,0,2285424,mouth-open
short-hair,0,2198346,"short-hair,shorthair"
simple-background,0,1746574,"/sbg,/simplebg"
shirt,0,1735193,"shirt-only,shirts"
blue-eyes,0,1711429,"blueeyes,light-blue-eyes"
absurdres,5,1695529,"insaneres,very-high-resolution"
large-breasts,0,1531228,"big-breasts,large-boobs,large-breast,large-tits,/lb"
skirt,0,1514151,
long-sleeves,0,1505340,"long-sleeve,/lsleeves"
blonde-hair,0,1494328,"blond,blonde,/blondeh,blondehair,blond-hair,gold-hair,yellow-hair"
multiple-girls,0,1490233,/ngirls
black-hair,0,1452613,"/blackh,black-hair,blackhair,dark-hair"
brown-hair,0,1445389,"/brownh,brown-hair,brownhair,brunette,chocolate-hair"
white-background,0,1433233,"/wbg,/whitebg"
hair-ornament,0,1372805,"hair-accessories,hair-accessory,hair-decs,hair-ornaments,/hornament"
1boy,0,1352057,"1boys,sole-male"
gloves,0,1307232,glove
commentary,5,1290984,commentaries
holding,0,1290574,"hold,holding-object"
dress,0,1238955,
red-eyes,0,1237609,"red-eye,redeyes"
hat,0,1172236,
bad-id,5,1156228,bad-skeb-id
thighhighs,0,1140769,"naked-thighhighs,nude-thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh-highs,thighhighs-only,thighhigs,thighighs"
bow,0,1139431,bows
original,3,1136695,"/o,original-character"
animal-ears,0,1129219,"kemonomimi,pokemon-ears"
navel,0,1119409,"belly-button,bellybutton"
hair-between-eyes,0,1118432,bangs-between-eyes
closed-mouth,0,1111703,
ribbon,0,1059698,ribbons
jewelry,0,1022976,"jewelery,jewellery"
2girls,0,990531,"2girl,2-girls"
cleavage,0,973983,"clevage,overboob"
bare-shoulders,0,946017,"bare-shoulder,bareshoulders"
very-long-hair,0,918992,"hair-past-waist,/vlh"
sitting,0,909660,"sit,sitting-down"
bad-pixiv-id,5,909616,
touhou,3,889995,"/to,toho"
jacket,0,889778,
twintails,0,880438,"/tt,twintaiks,twintail,twin-tails"
standing,0,873311,
medium-breasts,0,867069,
blue-hair,0,827356,"/blueh,bluehair"
brown-eyes,0,827161,"browneyes,light-brown-eyes"
green-eyes,0,822687,"green-eyes,greeneyes"
nipples,0,808809,nipple
white-shirt,0,802734,white-blouse
purple-eyes,0,781630,"light-purple-eyes,purpleeyes,violet-eyes"
underwear,0,776162,"shitagi,undergarments"
school-uniform,0,772632,"/s,school-girl,schoolgirl,school-uniforms,seifuku"
full-body,0,771928,
collarbone,0,765372,"clavicle,clavicles,collarbones"
tail,0,757219,"animal-tail,animal-tails,shippo,tails"
upper-body,0,742069,bust
photoshop-(medium),5,706362,
closed-eyes,0,678769,eyes-closed
white-hair,0,676198,whitehair
male-focus,0,670631,"boys-only,guys-only,male,male-only,man,men"
yellow-eyes,0,668973,"amber-eyes,golden-eyes,golden-eyes,gold-eyes,hazel-eyes,hazeleyes,yelloweyes"
pink-hair,0,663243,"magenta-hair,/pinkh,pinkhair"
multicolored-hair,0,656576,multicolor-hair
swimsuit,0,646656,"bathing-suit,mizugi,swim-suit,swimsuits"
grey-hair,0,645099,gray-hair
panties,0,633727,"/p,pantie,pantsu,panty"
ahoge,0,626494,
purple-hair,0,624006,"lavender-hair,/purpleh,purple-hair,purplehair,violet-hair"
monochrome,0,615243,"/m,monochome,monochorme,monochromatic"
